"","MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TranscieverClass"
"4828685",338531000,"2019-01-01T15:53:05",17.95144,-65.83935,4.5,53.9,46,"GENESIS VIGILANT","IMO8973928","WDG9352",31,0,30,10,5,31,"B"
"4828899",367433610,"2019-01-01T15:53:04",18.29478,-65.51289,14.6,93,511,"DEJA VU","","WDF2928",37,NA,22,6,NA,NA,"B"
"4829222",366915910,"2019-01-01T15:53:19",18.34758,-65.61599,28.7,99.9,108,"BIG CAT EXPRESS","IMO9316751","WDB5980",60,0,46,10,1.4,NA,"B"
"4829619",367578350,"2019-01-01T15:52:43",18.30623,-65.09528,5.6,-116.3,511,"MARY SUNSHINE","","WDH7113",37,NA,18,NA,NA,NA,"B"
"4829857",368020040,"2019-01-01T15:52:46",18.51059,-66.01867,6.8,139.3,511,"AQUA","IMO0000000","WDJ8811",36,NA,12,6,NA,NA,"B"
"4830023",338138014,"2019-01-01T15:52:48",18.45952,-66.0882,0,-78.8,511,"ANAMARINA","","",37,NA,19,NA,NA,NA,"B"
"4830141",368237000,"2019-01-01T15:52:50",18.22354,-65.6208,8.5,-53.2,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"4830376",367723910,"2019-01-01T15:52:52",18.289,-65.63447,0.1,172.3,511,"MARIMAR","","WDI6952",37,NA,NA,NA,NA,NA,"B"
"4830649",367070680,"2019-01-01T15:53:26",18.45638,-66.11265,9.5,10.3,511,"COVADONGA","","WDI5647",60,0,22,8,NA,NA,"B"
"4830947",368025180,"2019-01-01T15:53:01",18.46002,-66.08808,0,-147.2,511,"M/V DEMENCIA","IMO0000000","WDJ9348",37,NA,18,10,NA,NA,"B"
"4830975",366722810,"2019-01-01T15:52:48",18.45991,-66.08798,0.1,-180.9,511,"VAYPE","","WCW7684",37,NA,15,4,NA,NA,"B"
"4831000",367618240,"2019-01-01T15:52:49",18.16865,-65.48479,18,110.8,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"4831202",367515760,"2019-01-01T15:53:13",18.44811,-66.0894,0,-177.1,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"4831441",338109829,"2019-01-01T15:53:39",18.33941,-65.63135,0.1,75,511,"EL ARQUERO","","",37,NA,14,NA,NA,NA,"B"
"4831452",338109829,"2019-01-01T15:50:38",18.33942,-65.63136,0,73.6,511,"EL ARQUERO","","",37,NA,14,NA,NA,NA,"B"
"4832132",366995010,"2019-01-01T15:53:45",18.44773,-66.09109,0,-149.5,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"4832189",367555530,"2019-01-01T15:53:48",18.0535,-65.83679,0,-54.8,511,"PRO ASSIST III","IMO8644395","WDG5696",31,5,33,8,NA,NA,"A"
"4832292",339758000,"2019-01-01T15:53:16",18.4589,-66.09023,0,-49.6,511,"","","",NA,5,NA,NA,NA,NA,"A"
"4832606",367733250,"2019-01-01T15:53:39",18.46002,-66.08822,0,-172.4,511,"LADY ABI II","","WDI7892",37,NA,NA,NA,NA,NA,"B"
"4832761",367618240,"2019-01-01T15:53:55",18.16707,-65.47915,18.7,107.2,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"4833032",338926417,"2019-01-01T15:53:28",18.45972,-66.11526,0,-95.9,256,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"B"
"4833545",367128950,"2019-01-01T15:53:32",18.44771,-66.09081,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"4833835",368001090,"2019-01-01T15:54:07",18.28561,-65.63336,0,-90.4,511,"AZULITA","","WDJ6876",36,NA,NA,NA,NA,NA,"B"
"4833899",338531000,"2019-01-01T15:50:54",17.94965,-65.84151,4.5,49.4,46,"GENESIS VIGILANT","IMO8973928","WDG9352",31,0,30,10,5,31,"B"
"4834064",230185000,"2019-01-01T15:53:15",18.50251,-66.06319,8.6,73.8,73,"MIMER","IMO9002647","OIZX",70,0,108,17,6,71,"B"
"4834310",338210327,"2019-01-01T15:50:56",18.28827,-65.63513,0,204.3,511,"POTENCIA","","",37,NA,15,NA,NA,NA,"B"
"4834488",367015490,"2019-01-01T15:53:43",18.05359,-65.83672,0,-49.6,511,"PEDRITO","IMO8654405","WDC3864",31,5,23,10,NA,NA,"A"
"4834820",367774870,"2019-01-01T15:54:08",18.30322,-65.29156,5.2,108.3,511,"SHANNON","","WDJ4148",37,NA,NA,NA,NA,NA,"B"
"4835100",203141400,"2019-01-01T15:53:27",18.16428,-65.26617,6.9,172.1,511,"LUSEA","IMO0000000","OEX7182",36,NA,14,4,NA,NA,"B"
"4835538",338228168,"2019-01-01T15:54:12",18.23269,-65.19761,5.1,129.8,511,"NARCOSIS","IMO0000000","",36,NA,12,5,NA,NA,"B"
"4835617",367070680,"2019-01-01T15:51:06",18.44946,-66.11499,11,27.6,511,"COVADONGA","","WDI5647",60,0,22,8,NA,NA,"B"
"4835631",367649980,"2019-01-01T15:54:00",18.09586,-65.57936,5.2,151.4,511,"DIFFERENCE","","WDH7624",37,NA,16,NA,NA,NA,"B"
"4835648",367367040,"2019-01-01T15:54:17",18.29133,-65.27408,6.4,139.6,511,"RESOLUTE","","WDE5459",37,NA,16,4,NA,NA,"B"
"4835927",338536000,"2019-01-01T15:54:03",18.33526,-65.63115,0,-150.9,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"4836298",367552060,"2019-01-01T15:54:32",18.38664,-65.59206,0.1,-151.3,511,"CARIBE SPIRIT","","WDG5958",60,NA,24,NA,NA,NA,"B"
"4836423",367515760,"2019-01-01T15:54:24",18.44812,-66.0894,0,-167.4,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"4836430",230185000,"2019-01-01T15:54:24",18.50325,-66.06048,8.4,72.3,70,"MIMER","IMO9002647","OIZX",70,0,108,17,6,71,"B"
"4836481",367433610,"2019-01-01T15:54:34",18.29544,-65.5069,13.8,91.7,511,"DEJA VU","","WDF2928",37,NA,22,6,NA,NA,"B"
"4836488",367070680,"2019-01-01T15:54:27",18.4587,-66.11246,8.1,0.6,511,"COVADONGA","","WDI5647",60,0,22,8,NA,NA,"B"
"4836592",367396910,"2019-01-01T15:54:35",17.9368,-66.15603,0,-181.3,511,"ALEJANDRO","IMO7606633","WDE7729",31,5,34,10,3.7,52,"A"
"4836702",367529160,"2019-01-01T15:54:14",18.44838,-66.08923,0,-178.2,511,"HANDY THREE","","WDG3740",31,5,21,NA,NA,52,"A"
"4836790",338531000,"2019-01-01T15:54:15",17.95239,-65.83814,4.6,51.6,46,"GENESIS VIGILANT","IMO8973928","WDG9352",31,0,30,10,5,31,"B"
"4836895",368020040,"2019-01-01T15:54:16",18.5087,-66.01674,6.7,137.5,511,"AQUA","IMO0000000","WDJ8811",36,NA,12,6,NA,NA,"B"
"4837276",338071607,"2019-01-01T15:54:22",18.4607,-66.09091,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"4837808",368020590,"2019-01-01T15:54:26",18.30518,-65.29886,0.1,-71.7,511,"LULU","IMO0000000","WDJ8864",36,NA,16,5,NA,NA,"B"
"4837918",367578350,"2019-01-01T15:54:12",18.30679,-65.09795,5.5,-122.9,511,"MARY SUNSHINE","","WDH7113",37,NA,18,NA,NA,NA,"B"
"4837943",203141400,"2019-01-01T15:54:28",18.16235,-65.26582,7.5,172.6,511,"LUSEA","IMO0000000","OEX7182",36,NA,14,4,NA,NA,"B"
"4838002",338173000,"2019-01-01T15:54:52",18.22969,-65.62004,0,127.1,511,"MR CADE","IMO9307774","WDH4027",60,5,49,9,1.9,NA,"A"
"4838219",366915910,"2019-01-01T15:54:20",18.34169,-65.61025,28.6,152.8,155,"BIG CAT EXPRESS","IMO9316751","WDB5980",60,0,46,10,1.4,NA,"B"
"4838548",338926417,"2019-01-01T15:54:37",18.45973,-66.11525,0,-125.2,256,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"B"
"4838618",636018640,"2019-01-01T15:54:38",18.42963,-66.10728,0,167.2,194,"","","",NA,5,NA,NA,NA,NA,"A"
"4838753",366995010,"2019-01-01T15:54:53",18.44774,-66.09109,0,-146.7,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"4838776",368014910,"2019-01-01T15:55:23",17.93695,-66.156,0,-170.4,511,"","","",NA,5,NA,NA,NA,NA,"A"
"4839009",367128950,"2019-01-01T15:54:43",18.44771,-66.09083,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
