"","MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TranscieverClass"
"6089788",367771190,"2019-01-01T19:41:55",18.31509,-65.31876,0.2,-183.2,511,"MAKARA","","WDJ3769",60,NA,NA,NA,NA,NA,"B"
"6089917",367433610,"2019-01-01T19:41:34",18.31938,-65.32431,6.8,-201.5,511,"DEJA VU","","WDF2928",37,NA,22,6,NA,NA,"B"
"6089925",338109829,"2019-01-01T19:41:36",18.33938,-65.63143,0,189.8,511,"EL ARQUERO","","",37,NA,14,NA,NA,NA,"B"
"6090052",367515760,"2019-01-01T19:41:44",18.44809,-66.08939,0,-132,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"6090080",338536000,"2019-01-01T19:41:34",18.33528,-65.63118,0,-93.6,33,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"6090563",338531000,"2019-01-01T19:41:45",18.15398,-65.64074,4.3,39.1,38,"GENESIS VIGILANT","IMO8973928","WDG9352",31,0,30,10,5,31,"B"
"6090708",338238828,"2019-01-01T19:41:36",17.95503,-66.29212,0.2,-49.6,511,"SWEET KARMA","IMO0000000","",37,NA,13,4,NA,NA,"B"
"6090757",366029970,"2019-01-01T19:41:41",18.46112,-66.09347,0,-147.8,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"6090760",367128950,"2019-01-01T19:41:52",18.4477,-66.09082,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"6091195",671932000,"2019-01-01T19:39:49",18.46301,-66.10326,0.1,187.7,511,"NORMA H II","IMO7228716","5VFB9",70,5,51,11,3.6,70,"A"
"6091576",367751550,"2019-01-01T19:41:54",18.30116,-65.52027,6.2,-137.8,511,"ATABEY","","WDI9728",37,NA,NA,NA,NA,NA,"B"
"6092646",338926417,"2019-01-01T19:41:57",18.45974,-66.11523,0,-182.3,268,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"B"
"6092914",368001090,"2019-01-01T19:42:07",18.28562,-65.63336,0,-90.4,511,"AZULITA","","WDJ6876",36,NA,NA,NA,NA,NA,"B"
"6092983",368237000,"2019-01-01T19:42:01",18.20234,-65.60175,14.7,-120.4,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"6093031",367070680,"2019-01-01T19:42:09",18.44402,-66.11695,3.8,-96.6,511,"COVADONGA","","WDI5647",60,0,22,8,NA,NA,"B"
"6093514",339758000,"2019-01-01T19:42:17",18.45887,-66.09023,0,-49.6,511,"","","",NA,5,NA,NA,NA,NA,"A"
"6093625",366915910,"2019-01-01T19:42:18",18.21954,-65.42189,28.6,23.2,24,"BIG CAT EXPRESS","IMO9316751","WDB5980",60,0,46,10,1.4,NA,"B"
"6093791",367618240,"2019-01-01T19:42:10",18.19272,-65.57254,19.3,101.1,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"6094007",367015490,"2019-01-01T19:42:43",18.0536,-65.83673,0.1,-182.7,511,"PEDRITO","IMO8654405","WDC3864",31,5,23,10,NA,NA,"A"
"6094113",338071607,"2019-01-01T19:42:21",18.46073,-66.09099,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"6094198",366995010,"2019-01-01T19:42:33",18.44772,-66.09108,0,-82.7,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"6095300",230185000,"2019-01-01T19:41:54",18.43785,-65.53683,7.6,100.3,101,"MIMER","IMO9002647","OIZX",70,0,108,17,6,71,"B"
"6095679",367751550,"2019-01-01T19:40:25",18.30135,-65.51753,4.7,-134.5,511,"ATABEY","","WDI9728",37,NA,NA,NA,NA,NA,"B"
"6095911",367396910,"2019-01-01T19:42:34",17.93683,-66.15603,0,-100.6,511,"ALEJANDRO","IMO7606633","WDE7729",31,5,34,10,3.7,52,"A"
"6095933",671932000,"2019-01-01T19:42:50",18.46302,-66.10328,0,197.8,511,"NORMA H II","IMO7228716","5VFB9",70,5,51,11,3.6,70,"A"
"6095942",338536000,"2019-01-01T19:42:44",18.33529,-65.63118,0.1,-104.5,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"6095962",367592540,"2019-01-01T19:43:02",18.30789,-65.29026,0.1,-77.5,511,"HADA","","WDG9920",37,NA,14,NA,NA,NA,"B"
"6096124",338173000,"2019-01-01T19:42:54",18.15236,-65.44343,0,-184.6,511,"MR CADE","IMO9307774","WDH4027",60,5,49,9,1.9,NA,"A"
"6096241",230185000,"2019-01-01T19:43:04",18.43739,-65.53431,7.6,101.2,100,"MIMER","IMO9002647","OIZX",70,0,108,17,6,71,"B"
"6096244",368585000,"2019-01-01T19:40:27",18.3222,-65.32971,0.2,-109,511,"SERENITY","","WDJ7586",37,NA,15,NA,NA,NA,"B"
"6096260",636018640,"2019-01-01T19:42:38",18.42965,-66.10731,0,133.7,194,"","","",NA,5,NA,NA,NA,NA,"A"
"6096817",367515760,"2019-01-01T19:42:53",18.4481,-66.0894,0,-136.5,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"6096891",367128950,"2019-01-01T19:43:03",18.44772,-66.09082,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"6096921",366029970,"2019-01-01T19:40:32",18.46112,-66.09346,0,55.8,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"6097267",367552060,"2019-01-01T19:43:10",18.28724,-65.63572,0.1,-170.6,511,"CARIBE SPIRIT","","WDG5958",60,NA,24,NA,NA,NA,"B"
"6097348",338926417,"2019-01-01T19:43:07",18.45974,-66.11524,0,164.9,268,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"B"
"6097407",368008070,"2019-01-01T19:43:01",18.28734,-65.63241,0,139.5,511,"SALT AIR","","WDJ7579",36,NA,NA,NA,NA,NA,"B"
"6097992",368237000,"2019-01-01T19:43:06",18.20375,-65.60638,15.6,-122.4,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"6098151",368025180,"2019-01-01T19:43:01",18.45984,-66.08804,0,18.8,511,"M/V DEMENCIA","IMO0000000","WDJ9348",37,NA,18,10,NA,NA,"B"
"6098341",367618240,"2019-01-01T19:43:17",18.19117,-65.56661,18.9,102.4,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"6098390",367070680,"2019-01-01T19:43:19",18.44581,-66.11649,10.7,26.6,511,"COVADONGA","","WDI5647",60,0,22,8,NA,NA,"B"
"6098730",248325000,"2019-01-01T19:43:14",18.46262,-66.11198,0,-71.6,358,"","","",NA,5,NA,NA,NA,NA,"A"
"6098823",368585000,"2019-01-01T19:43:29",18.32227,-65.32971,0.1,-50.2,511,"SERENITY","","WDJ7586",37,NA,15,NA,NA,NA,"B"
"6099039",367529160,"2019-01-01T19:42:14",18.44841,-66.08936,0,-136.7,511,"HANDY THREE","","WDG3740",31,5,21,NA,NA,52,"A"
"6099122",319089300,"2019-01-01T19:43:28",18.45983,-66.09014,0,-131.3,277,"HATT MILL","IMO9642112","ZGFG3",37,5,46,NA,NA,NA,"A"
"6099548",338098422,"2019-01-01T19:43:14",18.28619,-65.63277,0,-151.9,511,"EMPTY POCKET","","",37,NA,NA,NA,NA,NA,"B"
"6099582",368020040,"2019-01-01T19:42:18",18.45218,-65.8063,5.6,130.9,511,"AQUA","IMO0000000","WDJ8811",36,NA,12,6,NA,NA,"B"
"6099847",367774870,"2019-01-01T19:43:36",18.31894,-65.23879,0.2,98,511,"SHANNON","","WDJ4148",37,NA,NA,NA,NA,NA,"B"
"6099920",367574560,"2019-01-01T19:43:28",18.28671,-65.63243,0,-154.4,511,"GABEA","","WDG8155",37,NA,20,NA,NA,NA,"B"
"6100179",366995010,"2019-01-01T19:43:34",18.44773,-66.09109,0,-83.9,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"6100290",338142008,"2019-01-01T19:43:35",18.30396,-65.29645,0.2,138.2,511,"WHISKEY HOTEL","IMO0000000","WDG6156",37,NA,27,8,NA,NA,"B"
"6100728",338138014,"2019-01-01T19:43:48",18.4595,-66.08819,0,-102,511,"ANAMARINA","","",37,NA,19,NA,NA,NA,"B"
"6100857",338531000,"2019-01-01T19:42:55",18.15507,-65.63981,4.3,39.5,38,"GENESIS VIGILANT","IMO8973928","WDG9352",31,0,30,10,5,31,"B"
"6101236",338536000,"2019-01-01T19:43:54",18.33529,-65.63116,0,-91.9,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"6101314",367396880,"2019-01-01T19:44:01",17.93671,-66.1561,0,-49.6,511,"PROASSIST I","IMO8851041","WDE7727",31,5,33,10,NA,NA,"A"
"6101417",366915910,"2019-01-01T19:43:20",18.22678,-65.41776,28.6,32.2,34,"BIG CAT EXPRESS","IMO9316751","WDB5980",60,0,46,10,1.4,NA,"B"
"6101552",367515760,"2019-01-01T19:44:04",18.44811,-66.08939,0,-141.5,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"6101623",367649980,"2019-01-01T19:43:59",18.09022,-65.47481,0.1,98.6,511,"DIFFERENCE","","WDH7624",37,NA,16,NA,NA,NA,"B"
"6101926",366029970,"2019-01-01T19:44:02",18.46111,-66.09345,0,-162.4,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"6102007",368020040,"2019-01-01T19:43:47",18.45032,-65.80474,6.9,141.5,511,"AQUA","IMO0000000","WDJ8811",36,NA,12,6,NA,NA,"B"
"6102070",366722810,"2019-01-01T19:43:48",18.45987,-66.08792,0,-112.7,511,"VAYPE","","WCW7684",37,NA,15,4,NA,NA,"B"
"6102623",367723910,"2019-01-01T19:43:55",18.28899,-65.63447,0,172.3,511,"MARIMAR","","WDI6952",37,NA,NA,NA,NA,NA,"B"
"6102757",368062970,"2019-01-01T19:44:01",18.31898,-65.22873,0.5,-72.5,511,"POLYPHONY","IMO0000000","WDK5236",36,NA,12,7,NA,NA,"B"
"6102795",367618240,"2019-01-01T19:44:22",18.18993,-65.56073,19.9,104.4,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"6103130",230185000,"2019-01-01T19:44:05",18.43703,-65.53212,7.7,100.7,100,"MIMER","IMO9002647","OIZX",70,0,108,17,6,71,"B"
"6103449",338926417,"2019-01-01T19:44:09",18.45973,-66.11524,0,-199.7,268,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"B"
"6103454",338531000,"2019-01-01T19:44:04",18.15614,-65.63896,4.3,36.2,37,"GENESIS VIGILANT","IMO8973928","WDG9352",31,0,30,10,5,31,"B"
"6103731",368237000,"2019-01-01T19:44:12",18.20543,-65.61092,15,-108.2,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"6103789",367128950,"2019-01-01T19:44:12",18.44771,-66.09082,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"6104382",367555530,"2019-01-01T19:44:13",18.0535,-65.83682,0,-76.4,511,"PRO ASSIST III","IMO8644395","WDG5696",31,5,33,8,NA,NA,"A"
"6104438",367733250,"2019-01-01T19:41:39",18.46004,-66.08808,0,180.2,511,"LADY ABI II","","WDI7892",37,NA,NA,NA,NA,NA,"B"
"6104857",367730640,"2019-01-01T19:44:23",18.2871,-65.63304,0,-109.1,511,"STELLA","","WDI7637",37,NA,NA,NA,NA,NA,"B"
"6105121",367751550,"2019-01-01T19:44:24",18.30131,-65.52481,5,-158.2,511,"ATABEY","","WDI9728",37,NA,NA,NA,NA,NA,"B"
"6105141",338109829,"2019-01-01T19:44:37",18.33942,-65.63144,0,-196.5,511,"EL ARQUERO","","",37,NA,14,NA,NA,NA,"B"
"6106373",338071607,"2019-01-01T19:44:41",18.46072,-66.09099,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"6106626",366995010,"2019-01-01T19:44:44",18.44771,-66.09108,0.1,-98.2,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"6106836",257539680,"2019-01-01T19:44:40",18.30658,-65.29891,0.4,-57.5,511,"BLUE","","LK7816",36,NA,NA,NA,NA,NA,"B"
"6107347",367771190,"2019-01-01T19:44:54",18.31511,-65.31877,0.3,-94.6,511,"MAKARA","","WDJ3769",60,NA,NA,NA,NA,NA,"B"
"6108166",367515760,"2019-01-01T19:45:14",18.44811,-66.08939,0,-139.8,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"6108199",338536000,"2019-01-01T19:45:04",18.3353,-65.63117,0.1,-103,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"6108252",339758000,"2019-01-01T19:45:14",18.45887,-66.09023,0,-49.6,511,"","","",NA,5,NA,NA,NA,NA,"A"
"6108469",338926417,"2019-01-01T19:45:17",18.45974,-66.11524,0,-178.1,269,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"B"
"6108521",368001090,"2019-01-01T19:45:07",18.28562,-65.63335,0,-90.4,511,"AZULITA","","WDJ6876",36,NA,NA,NA,NA,NA,"B"
"6108873",367128950,"2019-01-01T19:45:13",18.44771,-66.09081,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"6108970",230185000,"2019-01-01T19:45:14",18.4366,-65.52959,7.6,98.2,100,"MIMER","IMO9002647","OIZX",70,0,108,17,6,71,"B"
"6109053",366029970,"2019-01-01T19:45:13",18.4611,-66.09345,0,-149.1,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"6109128",338531000,"2019-01-01T19:45:14",18.15726,-65.6381,4.3,36.7,36,"GENESIS VIGILANT","IMO8973928","WDG9352",31,0,30,10,5,31,"B"
"6109355",367529160,"2019-01-01T19:45:14",18.44837,-66.08929,0,-135.5,511,"HANDY THREE","","WDG3740",31,5,21,NA,NA,52,"A"
"6109538",366915910,"2019-01-01T19:45:22",18.23975,-65.40744,28.7,36.1,36,"BIG CAT EXPRESS","IMO9316751","WDB5980",60,0,46,10,1.4,NA,"B"
"6109846",366029970,"2019-01-01T19:42:52",18.46111,-66.09347,0,-117.6,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"6109909",367751550,"2019-01-01T19:42:57",18.30116,-65.52214,7.1,-110.5,511,"ATABEY","","WDI9728",37,NA,NA,NA,NA,NA,"B"
"6110084",235084084,"2019-01-01T19:43:12",18.45909,-66.08997,0.1,100.8,511,"JOSEFINA","","MLCV5",36,NA,NA,NA,NA,NA,"B"
"6110205",368014910,"2019-01-01T19:43:22",17.93702,-66.15598,0,-138.8,511,"","","",NA,5,NA,NA,NA,NA,"A"
"6110289",338071607,"2019-01-01T19:43:31",18.46072,-66.09097,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"6110639",367433610,"2019-01-01T19:44:03",18.31207,-65.32429,14.3,163.6,511,"DEJA VU","","WDF2928",37,NA,22,6,NA,NA,"B"
"6110860",366915910,"2019-01-01T19:44:21",18.23315,-65.41274,28.6,37.3,38,"BIG CAT EXPRESS","IMO9316751","WDB5980",60,0,46,10,1.4,NA,"B"
"6110934",367775170,"2019-01-01T19:44:27",18.28787,-65.63559,0,88.7,511,"STRESS RELEASE","","WDJ4176",37,NA,NA,NA,NA,NA,"B"
"6110948",367070680,"2019-01-01T19:44:28",18.44894,-66.11487,11.9,18.4,511,"COVADONGA","","WDI5647",60,0,22,8,NA,NA,"B"
"6111029",338238828,"2019-01-01T19:44:36",17.95498,-66.29216,0.2,-49.6,511,"SWEET KARMA","IMO0000000","",37,NA,13,4,NA,NA,"B"
"6111149",368020040,"2019-01-01T19:44:48",18.44897,-65.8036,5.1,137.5,511,"AQUA","IMO0000000","WDJ8811",36,NA,12,6,NA,NA,"B"
"6111432",368237000,"2019-01-01T19:45:13",18.20842,-65.6141,15,-91.3,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"6112094",367733250,"2019-01-01T19:44:40",18.46003,-66.08809,0,180.2,511,"LADY ABI II","","WDI7892",37,NA,NA,NA,NA,NA,"B"
"6113250",367618240,"2019-01-01T19:45:29",18.18841,-65.55478,18.7,102.1,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"6113479",368020590,"2019-01-01T19:45:27",18.30503,-65.29878,0.2,140.9,511,"LULU","IMO0000000","WDJ8864",36,NA,16,5,NA,NA,"B"
"6113979",636018640,"2019-01-01T19:45:38",18.42965,-66.10729,0,133.7,194,"","","",NA,5,NA,NA,NA,NA,"A"
"6114004",367744930,"2019-01-01T19:45:35",18.28865,-65.6334,0.1,154.3,511,"RESPIRE","","WDI9068",37,NA,NA,NA,NA,NA,"B"
"6114547",367070680,"2019-01-01T19:45:40",18.45263,-66.11355,11.6,18.8,511,"COVADONGA","","WDI5647",60,0,22,8,NA,NA,"B"
"6114900",367396910,"2019-01-01T19:45:36",17.93682,-66.15608,0,-115.7,511,"ALEJANDRO","IMO7606633","WDE7729",31,5,34,10,3.7,52,"A"
"6115189",338071607,"2019-01-01T19:45:51",18.46072,-66.09097,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"6115287",338173000,"2019-01-01T19:45:52",18.15238,-65.44344,0,-57.7,511,"MR CADE","IMO9307774","WDH4027",60,5,49,9,1.9,NA,"A"
"6115315",366995010,"2019-01-01T19:45:53",18.44773,-66.09109,0,-71.6,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"6115766",368025180,"2019-01-01T19:46:01",18.45985,-66.08802,0,18.8,511,"M/V DEMENCIA","IMO0000000","WDJ9348",37,NA,18,10,NA,NA,"B"
"6115792",368008070,"2019-01-01T19:46:01",18.28734,-65.6324,0,139.5,511,"SALT AIR","","WDJ7579",36,NA,NA,NA,NA,NA,"B"
"6115897",367751550,"2019-01-01T19:45:55",18.30078,-65.52748,6.5,-154.2,511,"ATABEY","","WDI9728",37,NA,NA,NA,NA,NA,"B"
"6115929",367592540,"2019-01-01T19:46:02",18.30787,-65.29026,0.1,-96.9,511,"HADA","","WDG9920",37,NA,14,NA,NA,NA,"B"
"6116407",367433610,"2019-01-01T19:46:02",18.30401,-65.32076,16.9,149.9,511,"DEJA VU","","WDF2928",37,NA,22,6,NA,NA,"B"
"6116439",367015490,"2019-01-01T19:45:45",18.0536,-65.83675,0,-49.6,511,"PEDRITO","IMO8654405","WDC3864",31,5,23,10,NA,NA,"A"
"6116908",671932000,"2019-01-01T19:45:50",18.46303,-66.10327,0,-202.1,511,"NORMA H II","IMO7228716","5VFB9",70,5,51,11,3.6,70,"A"
"6116933",338536000,"2019-01-01T19:46:13",18.3353,-65.63115,0,-101.4,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"6116963",338162314,"2019-01-01T19:46:08",18.34169,-65.63869,0,-66.2,511,"TOMAHAWK","","",37,NA,18,NA,NA,NA,"B"
"6117032",248325000,"2019-01-01T19:46:14",18.46262,-66.11198,0,97.4,358,"","","",NA,5,NA,NA,NA,NA,"A"
"6117061",367552060,"2019-01-01T19:46:09",18.28726,-65.6357,0,-180.2,511,"CARIBE SPIRIT","","WDG5958",60,NA,24,NA,NA,NA,"B"
"6117084",235084084,"2019-01-01T19:46:15",18.4591,-66.08997,0,100.8,511,"JOSEFINA","","MLCV5",36,NA,NA,NA,NA,NA,"B"
"6117555",367515760,"2019-01-01T19:46:23",18.44812,-66.08941,0,-146.8,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"6117720",366029970,"2019-01-01T19:46:22",18.46112,-66.09347,0,128.3,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"6117745",368020040,"2019-01-01T19:46:17",18.44711,-65.80191,6.8,142.9,511,"AQUA","IMO0000000","WDJ8811",36,NA,12,6,NA,NA,"B"
"6117827",230185000,"2019-01-01T19:46:25",18.43615,-65.52698,7.7,103.4,103,"MIMER","IMO9002647","OIZX",70,0,108,17,6,71,"B"
"6117908",338531000,"2019-01-01T19:46:24",18.15839,-65.63725,4.1,35.7,36,"GENESIS VIGILANT","IMO8973928","WDG9352",31,0,30,10,5,31,"B"
"6118113",367574560,"2019-01-01T19:46:28",18.2867,-65.63244,0,-152.4,511,"GABEA","","WDG8155",37,NA,20,NA,NA,NA,"B"
"6118185",368014910,"2019-01-01T19:46:22",17.937,-66.15603,0,-131.3,511,"","","",NA,5,NA,NA,NA,NA,"A"
"6118244",366915910,"2019-01-01T19:46:23",18.246,-65.40225,28.7,39.5,41,"BIG CAT EXPRESS","IMO9316751","WDB5980",60,0,46,10,1.4,NA,"B"
"6118260",368585000,"2019-01-01T19:46:28",18.32221,-65.3297,0.3,157,511,"SERENITY","","WDJ7586",37,NA,15,NA,NA,NA,"B"
"6118491",319089300,"2019-01-01T19:46:30",18.45983,-66.09014,0,-139.3,277,"HATT MILL","IMO9642112","ZGFG3",37,5,46,NA,NA,NA,"A"
"6118804",367618240,"2019-01-01T19:46:34",18.18711,-65.54894,20,104,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"6118820",338142008,"2019-01-01T19:46:36",18.30403,-65.29653,0.1,-124.2,511,"WHISKEY HOTEL","IMO0000000","WDG6156",37,NA,27,8,NA,NA,"B"
"6118836",338098422,"2019-01-01T19:46:14",18.28622,-65.63276,0,-177,511,"EMPTY POCKET","","",37,NA,NA,NA,NA,NA,"B"
"6119065",367774870,"2019-01-01T19:46:37",18.31894,-65.23884,0.6,-151.1,511,"SHANNON","","WDJ4148",37,NA,NA,NA,NA,NA,"B"
"6119304",368237000,"2019-01-01T19:46:19",18.21205,-65.61704,15.2,-81.7,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"6119994",338926417,"2019-01-01T19:46:27",18.45974,-66.11525,0,107.4,269,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"B"
"6120567",338138014,"2019-01-01T19:46:49",18.4595,-66.0882,0.1,98.1,511,"ANAMARINA","","",37,NA,19,NA,NA,NA,"B"
"6120744",367649980,"2019-01-01T19:46:58",18.09021,-65.4748,0.3,56.7,511,"DIFFERENCE","","WDH7624",37,NA,16,NA,NA,NA,"B"
"6120847",338071607,"2019-01-01T19:47:01",18.46072,-66.09096,0.1,-109.7,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"6120859",366995010,"2019-01-01T19:47:03",18.44772,-66.09109,0,-73.6,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"6121696",367555530,"2019-01-01T19:47:11",18.05351,-65.83682,0.1,-79.1,511,"PRO ASSIST III","IMO8644395","WDG5696",31,5,33,8,NA,NA,"A"
"6121730",366722810,"2019-01-01T19:46:48",18.4599,-66.08799,0.1,-116.6,511,"VAYPE","","WCW7684",37,NA,15,4,NA,NA,"B"
"6121749",367070680,"2019-01-01T19:46:48",18.45576,-66.11264,6.5,11.3,511,"COVADONGA","","WDI5647",60,0,22,8,NA,NA,"B"
"6122053",367128950,"2019-01-01T19:46:22",18.44772,-66.0908,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"6122805",367396880,"2019-01-01T19:47:02",17.93674,-66.15609,0,-49.6,511,"PROASSIST I","IMO8851041","WDE7727",31,5,33,10,NA,NA,"A"
"6122809",366915910,"2019-01-01T19:47:25",18.25159,-65.39605,28.6,52.3,52,"BIG CAT EXPRESS","IMO9316751","WDB5980",60,0,46,10,1.4,NA,"B"
"6122986",368020040,"2019-01-01T19:47:20",18.44572,-65.80075,1.5,118,511,"AQUA","IMO0000000","WDJ8811",36,NA,12,6,NA,NA,"B"
"6123268",338536000,"2019-01-01T19:47:24",18.33529,-65.63113,0.1,-105.4,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"6123334",368237000,"2019-01-01T19:47:24",18.21594,-65.61864,10.9,-67.2,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"6123435",367128950,"2019-01-01T19:47:32",18.44771,-66.09081,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"6124052",367733250,"2019-01-01T19:47:38",18.46004,-66.08812,0,180.2,511,"LADY ABI II","","WDI7892",37,NA,NA,NA,NA,NA,"B"
"6124524",367775170,"2019-01-01T19:47:26",18.28787,-65.63559,0,88.7,511,"STRESS RELEASE","","WDJ4176",37,NA,NA,NA,NA,NA,"B"
"6124582",367751550,"2019-01-01T19:47:26",18.30025,-65.53009,7.2,-174.5,511,"ATABEY","","WDI9728",37,NA,NA,NA,NA,NA,"B"
"6124934",366029970,"2019-01-01T19:47:31",18.46112,-66.09348,0,-99,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"6125220",230185000,"2019-01-01T19:47:36",18.43556,-65.52445,7.6,103.1,103,"MIMER","IMO9002647","OIZX",70,0,108,17,6,71,"B"
"6125258",367515760,"2019-01-01T19:47:33",18.4481,-66.08941,0,-149.7,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"6125669",338926417,"2019-01-01T19:47:39",18.45973,-66.11526,0,60.8,269,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"B"
"6125852",338109829,"2019-01-01T19:47:41",18.33944,-65.63143,0,-182.1,511,"EL ARQUERO","","",37,NA,14,NA,NA,NA,"B"
"6125996",367618240,"2019-01-01T19:47:41",18.18569,-65.54294,18.9,106.1,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"6126370",368001090,"2019-01-01T19:48:08",18.28562,-65.63336,0,-90.4,511,"AZULITA","","WDJ6876",36,NA,NA,NA,NA,NA,"B"
"6126435",366915910,"2019-01-01T19:48:27",18.2566,-65.38915,28.9,50.3,50,"BIG CAT EXPRESS","IMO9316751","WDB5980",60,0,46,10,1.4,NA,"B"
"6127101",366995010,"2019-01-01T19:48:13",18.44773,-66.09109,0.1,-103.4,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"6127164",367070680,"2019-01-01T19:47:59",18.4579,-66.11276,6.8,-55.3,511,"COVADONGA","","WDI5647",60,0,22,8,NA,NA,"B"
"6127190",368062970,"2019-01-01T19:47:01",18.31902,-65.22871,0.4,167.3,511,"POLYPHONY","IMO0000000","WDK5236",36,NA,12,7,NA,NA,"B"
"6127380",338071607,"2019-01-01T19:48:12",18.46072,-66.09096,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"6128025",368020590,"2019-01-01T19:48:28",18.30497,-65.29872,0,109.6,511,"LULU","IMO0000000","WDJ8864",36,NA,16,5,NA,NA,"B"
"6128196",368237000,"2019-01-01T19:48:31",18.21839,-65.61949,7.5,-64.7,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
